"state","sex","age","pop","year"
"Indiana","Male","25 to 29 years",211520,2010
"Iowa","Male","25 to 29 years",97136,2010
"Kansas","Male","25 to 29 years",95411,2010
"Kentucky","Male","25 to 29 years",142160,2010
"Louisiana","Male","25 to 29 years",158466,2010
"Maine","Male","25 to 29 years",35752,2010
"Maryland","Male","25 to 29 years",188606,2010
"Massachusetts","Male","25 to 29 years",211262,2010
"Michigan","Male","25 to 29 years",301279,2010
"Minnesota","Male","25 to 29 years",183789,2010
"Mississippi","Male","25 to 29 years",96628,2010
"Missouri","Male","25 to 29 years",196219,2010
"Montana","Male","25 to 29 years",31284,2010
"Nebraska","Male","25 to 29 years",62046,2010
"Nevada","Male","25 to 29 years",99828,2010
"New Hampshire","Male","25 to 29 years",35691,2010
"New Jersey","Male","25 to 29 years",274454,2010
"New Mexico","Male","25 to 29 years",69257,2010
"New York","Male","25 to 29 years",668369,2010
"North Carolina","Male","25 to 29 years",297273,2010
"North Dakota","Male","25 to 29 years",23992,2010
"Ohio","Male","25 to 29 years",365035,2010
"Oklahoma","Male","25 to 29 years",129340,2010
"Oregon","Male","25 to 29 years",130230,2010
"Pennsylvania","Male","25 to 29 years",386216,2010
"Rhode Island","Male","25 to 29 years",33209,2010
"South Carolina","Male","25 to 29 years",148836,2010
"South Dakota","Male","25 to 29 years",27452,2010
"Tennessee","Male","25 to 29 years",207037,2010
"Texas","Male","25 to 29 years",904214,2010
"Utah","Male","25 to 29 years",115182,2010
"Vermont","Male","25 to 29 years",17093,2010
"Virginia","Male","25 to 29 years",269631,2010
"Washington","Male","25 to 29 years",235608,2010
"West Virginia","Male","25 to 29 years",54751,2010
"Wisconsin","Male","25 to 29 years",183744,2010
"Wyoming","Male","25 to 29 years",19965,2010
"Puerto Rico","Male","25 to 29 years",124728,2010
"Alabama","Male","30 to 34 years",142261,2010
"Alaska","Male","30 to 34 years",22836,2010
"Arizona","Male","30 to 34 years",208095,2010
"Arkansas","Male","30 to 34 years",88728,2010
"California","Male","30 to 34 years",1280511,2010
"Colorado","Male","30 to 34 years",176796,2010
"Connecticut","Male","30 to 34 years",101293,2010
"Delaware","Male","30 to 34 years",25445,2010
"District of Columbia","Male","30 to 34 years",24796,2010
"Florida","Male","30 to 34 years",545356,2010
"Georgia","Male","30 to 34 years",321315,2010
"Hawaii","Male","30 to 34 years",43234,2010
"Idaho","Male","30 to 34 years",49580,2010
"Illinois","Male","30 to 34 years",428916,2010
"Indiana","Male","30 to 34 years",202342,2010
"Iowa","Male","30 to 34 years",91276,2010
"Kansas","Male","30 to 34 years",88144,2010
"Kentucky","Male","30 to 34 years",138012,2010
"Louisiana","Male","30 to 34 years",136441,2010
"Maine","Male","30 to 34 years",35730,2010
"Maryland","Male","30 to 34 years",172958,2010
"Massachusetts","Male","30 to 34 years",196385,2010
"Michigan","Male","30 to 34 years",290038,2010
"Minnesota","Male","30 to 34 years",168243,2010
"Mississippi","Male","30 to 34 years",88918,2010
"Missouri","Male","30 to 34 years",179626,2010
"Montana","Male","30 to 34 years",28408,2010
"Nebraska","Male","30 to 34 years",57395,2010
"Nevada","Male","30 to 34 years",94736,2010
"New Hampshire","Male","30 to 34 years",36216,2010
"New Jersey","Male","30 to 34 years",273658,2010
"New Mexico","Male","30 to 34 years",60250,2010
"New York","Male","30 to 34 years",613340,2010
"North Carolina","Male","30 to 34 years",303974,2010
"North Dakota","Male","30 to 34 years",20240,2010
"Ohio","Male","30 to 34 years",338653,2010
"Oklahoma","Male","30 to 34 years",117079,2010
"Oregon","Male","30 to 34 years",127647,2010
"Pennsylvania","Male","30 to 34 years",356067,2010
"Rhode Island","Male","30 to 34 years",30213,2010
"South Carolina","Male","30 to 34 years",139075,2010
"South Dakota","Male","30 to 34 years",23649,2010
"Tennessee","Male","30 to 34 years",198765,2010
"Texas","Male","30 to 34 years",851445,2010
"Utah","Male","30 to 34 years",102878,2010
"Vermont","Male","30 to 34 years",16752,2010
"Virginia","Male","30 to 34 years",254437,2010
"Washington","Male","30 to 34 years",219353,2010
"West Virginia","Male","30 to 34 years",55497,2010
"Wisconsin","Male","30 to 34 years",172992,2010
"Wyoming","Male","30 to 34 years",17067,2010
"Puerto Rico","Male","30 to 34 years",118641,2010
"Alabama","Male","35 to 39 years",151232,2010
"Alaska","Male","35 to 39 years",23268,2010
"Arizona","Male","35 to 39 years",212938,2010
"Arkansas","Male","35 to 39 years",90836,2010
"California","Male","35 to 39 years",1327600,2010
"Colorado","Male","35 to 39 years",181354,2010
"Connecticut","Male","35 to 39 years",115899,2010
"Delaware","Male","35 to 39 years",28601,2010
"District of Columbia","Male","35 to 39 years",21428,2010
"Florida","Male","35 to 39 years",594879,2010
"Georgia","Male","35 to 39 years",345818,2010
"Hawaii","Male","35 to 39 years",44964,2010
"Idaho","Male","35 to 39 years",48572,2010
"Illinois","Male","35 to 39 years",436266,2010
"Indiana","Male","35 to 39 years",213862,2010
"Iowa","Male","35 to 39 years",91095,2010
"Kansas","Male","35 to 39 years",88398,2010
"Kentucky","Male","35 to 39 years",144841,2010
"Louisiana","Male","35 to 39 years",139640,2010
"Maine","Male","35 to 39 years",42120,2010
"Maryland","Male","35 to 39 years",191256,2010
"Massachusetts","Male","35 to 39 years",212549,2010
"Michigan","Male","35 to 39 years",323816,2010
"Minnesota","Male","35 to 39 years",173369,2010
"Mississippi","Male","35 to 39 years",90929,2010
"Missouri","Male","35 to 39 years",187886,2010
"Montana","Male","35 to 39 years",28090,2010
"Nebraska","Male","35 to 39 years",55471,2010
"Nevada","Male","35 to 39 years",101328,2010
"New Hampshire","Male","35 to 39 years",43392,2010
"New Jersey","Male","35 to 39 years",306853,2010
"New Mexico","Male","35 to 39 years",61511,2010
"New York","Male","35 to 39 years",641462,2010
"North Carolina","Male","35 to 39 years",325743,2010
"North Dakota","Male","35 to 39 years",18657,2010
"Ohio","Male","35 to 39 years",372756,2010
"Oklahoma","Male","35 to 39 years",116538,2010
"Oregon","Male","35 to 39 years",127471,2010
"Pennsylvania","Male","35 to 39 years",400493,2010
"Rhode Island","Male","35 to 39 years",34001,2010
"South Carolina","Male","35 to 39 years",146442,2010
"South Dakota","Male","35 to 39 years",23685,2010
"Tennessee","Male","35 to 39 years",212307,2010
"Texas","Male","35 to 39 years",868481,2010
"Utah","Male","35 to 39 years",85154,2010
"Vermont","Male","35 to 39 years",18263,2010
"Virginia","Male","35 to 39 years",271005,2010
"Washington","Male","35 to 39 years",229944,2010
"West Virginia","Male","35 to 39 years",58725,2010
"Wisconsin","Male","35 to 39 years",183898,2010
"Wyoming","Male","35 to 39 years",17357,2010
"Puerto Rico","Male","35 to 39 years",115608,2010
"Alabama","Male","40 to 44 years",159477,2010
"Alaska","Male","40 to 44 years",26441,2010
"Arizona","Male","40 to 44 years",206777,2010
"Arkansas","Male","40 to 44 years",95610,2010
"California","Male","40 to 44 years",1335408,2010
"Colorado","Male","40 to 44 years",177150,2010
"Connecticut","Male","40 to 44 years",134267,2010
"Delaware","Male","40 to 44 years",30141,2010
"District of Columbia","Male","40 to 44 years",19930,2010
"Florida","Male","40 to 44 years",653383,2010
"Georgia","Male","40 to 44 years",352683,2010
"Hawaii","Male","40 to 44 years",45428,2010
"Idaho","Male","40 to 44 years",48816,2010
"Illinois","Male","40 to 44 years",448717,2010
"Indiana","Male","40 to 44 years",220008,2010
"Iowa","Male","40 to 44 years",99977,2010
"Kansas","Male","40 to 44 years",91212,2010
"Kentucky","Male","40 to 44 years",152733,2010
"Louisiana","Male","40 to 44 years",146869,2010
"Maine","Male","40 to 44 years",47739,2010
"Maryland","Male","40 to 44 years",209371,2010
"Massachusetts","Male","40 to 44 years",241960,2010
"Michigan","Male","40 to 44 years",350692,2010
"Minnesota","Male","40 to 44 years",186064,2010
"Mississippi","Male","40 to 44 years",96410,2010
"Missouri","Male","40 to 44 years",198214,2010
"Montana","Male","40 to 44 years",30803,2010
"Nebraska","Male","40 to 44 years",59476,2010
"Nevada","Male","40 to 44 years",98097,2010
"New Hampshire","Male","40 to 44 years",51441,2010
"New Jersey","Male","40 to 44 years",328451,2010
"New Mexico","Male","40 to 44 years",64871,2010
"New York","Male","40 to 44 years",694563,2010
"North Carolina","Male","40 to 44 years",335191,2010
"North Dakota","Male","40 to 44 years",20762,2010
"Ohio","Male","40 to 44 years",394260,2010
"Oklahoma","Male","40 to 44 years",117469,2010
"Oregon","Male","40 to 44 years",127250,2010
